Date,VEA,VNQ,VOO,VWO
2011-01-01 00:00:00-05:00,25.59475326538086,35.397335052490234,93.49259185791016,33.42950439453125
2011-02-01 00:00:00-05:00,26.53038787841797,37.0628776550293,96.73345184326172,33.371971130371094
2011-03-01 00:00:00-05:00,25.858123779296875,36.202239990234375,96.30450439453125,35.19841003417969
2011-04-01 00:00:00-04:00,27.46804428100586,38.561439514160156,99.57621765136719,36.384864807128906
2011-05-01 00:00:00-04:00,26.726232528686523,39.09156036376953,98.41131591796875,35.313453674316406
2011-06-01 00:00:00-04:00,26.40038299560547,37.48248291015625,96.28894805908203,34.96110153198242
2011-07-01 00:00:00-04:00,25.76948356628418,38.3930778503418,94.76846313476562,34.745391845703125
2011-08-01 00:00:00-04:00,23.55790138244629,36.235652923583984,89.54100036621094,31.588680267333984
2011-09-01 00:00:00-04:00,20.88874626159668,31.996328353881836,82.99860382080078,25.764225006103516
2011-10-01 00:00:00-04:00,22.92701530456543,36.92412185668945,92.43077850341797,29.862913131713867
2011-11-01 00:00:00-04:00,22.448646545410156,35.520572662353516,92.15666198730469,29.352371215820312
2011-12-01 00:00:00-05:00,21.235397338867188,36.8352165222168,92.64041900634766,27.475608825683594
2012-01-01 00:00:00-05:00,23.202495574951172,39.61931610107422,97.36351013183594,31.164173126220703
2012-02-01 00:00:00-05:00,24.335723876953125,39.16340637207031,101.53254699707031,32.85748291015625
2012-03-01 00:00:00-05:00,24.40745735168457,40.871482849121094,104.42005157470703,32.00348663330078
2012-04-01 00:00:00-04:00,23.834209442138672,42.37802505493164,104.21772766113281,31.333515167236328
2012-05-01 00:00:00-04:00,21.172414779663086,40.46852493286133,97.96073913574219,27.991086959838867
2012-06-01 00:00:00-04:00,22.650394439697266,42.352142333984375,101.48028564453125,29.397258758544922
2012-07-01 00:00:00-04:00,22.70779037475586,43.5561408996582,103.2406997680664,29.456151962280273
2012-08-01 00:00:00-04:00,23.453956604003906,43.54960632324219,105.82868194580078,29.52977752685547
2012-09-01 00:00:00-04:00,23.59027099609375,42.40099334716797,107.97441864013672,30.715084075927734
2012-10-01 00:00:00-04:00,24.327075958251953,42.3500862121582,106.40528869628906,30.92644691467285
2012-11-01 00:00:00-04:00,24.985952377319336,42.23825454711914,107.01444244384766,31.321502685546875
2012-12-01 00:00:00-05:00,25.791244506835938,43.284183502197266,107.32725524902344,33.19244384765625
2013-01-01 00:00:00-05:00,27.04448890686035,45.448585510253906,113.68708801269531,33.5576286315918
2013-02-01 00:00:00-05:00,26.733970642089844,46.00121307373047,115.19609832763672,32.76689529418945
2013-03-01 00:00:00-05:00,26.933582305908203,46.95998001098633,118.79439544677734,32.30750274658203
2013-04-01 00:00:00-04:00,28.463586807250977,50.50946044921875,121.85661315917969,33.00043487548828
2013-05-01 00:00:00-04:00,27.61703109741211,47.49018478393555,124.68888092041016,31.326290130615234
2013-06-01 00:00:00-04:00,26.436302185058594,46.108009338378906,122.18978118896484,29.252460479736328
2013-07-01 00:00:00-04:00,28.240121841430664,46.96894073486328,129.32278442382812,29.85518455505371
2013-08-01 00:00:00-04:00,27.787681579589844,43.690467834472656,125.33740234375,28.830970764160156
2013-09-01 00:00:00-04:00,29.846309661865234,44.80134582519531,128.93759155273438,30.67303466796875
2013-10-01 00:00:00-04:00,30.9307861328125,47.25559616088867,135.37521362304688,32.26945495605469
2013-11-01 00:00:00-04:00,31.135210037231445,44.77421188354492,139.4311065673828,31.96888542175293
2013-12-01 00:00:00-05:00,31.559228897094727,44.13165283203125,142.33413696289062,31.706838607788086
2014-01-01 00:00:00-05:00,30.07444190979004,46.73591613769531,138.05751037597656,29.18913459777832
2014-02-01 00:00:00-05:00,31.86321258544922,49.1032600402832,144.36053466796875,30.13446617126465
2014-03-01 00:00:00-05:00,31.414133071899414,49.026885986328125,144.96969604492188,31.443988800048828
2014-04-01 00:00:00-04:00,32.25068283081055,50.96839141845703,146.6853485107422,31.8085880279541
2014-05-01 00:00:00-04:00,32.81998825073242,52.19124221801758,150.05096435546875,32.79533767700195
2014-06-01 00:00:00-04:00,32.76613235473633,52.296058654785156,152.49874877929688,33.5101318359375
2014-07-01 00:00:00-04:00,32.3735466003418,52.82549285888672,151.07675170898438,34.29880142211914
2014-08-01 00:00:00-04:00,32.45919418334961,54.433528900146484,157.07852172851562,35.61677932739258
2014-09-01 00:00:00-04:00,30.948734283447266,50.674381256103516,154.17578125,32.7219352722168
2014-10-01 00:00:00-04:00,31.001657485961914,56.22793960571289,158.6327667236328,33.80179977416992
2014-11-01 00:00:00-04:00,31.001657485961914,57.352657318115234,163.00750732421875,33.429229736328125
2014-12-01 00:00:00-05:00,29.647624969482422,57.65873718261719,161.6092987060547,31.724868774414062
2015-01-01 00:00:00-05:00,30.04561996459961,62.449153900146484,156.9686279296875,31.800931930541992
2015-02-01 00:00:00-05:00,31.896394729614258,60.15465545654297,165.72674560546875,33.281898498535156
2015-03-01 00:00:00-05:00,31.368732452392578,60.832889556884766,162.29551696777344,32.541404724121094
2015-04-01 00:00:00-04:00,32.72600555419922,57.61802291870117,164.76173400878906,35.014591217041016
2015-05-01 00:00:00-04:00,32.710182189941406,57.443817138671875,166.82235717773438,33.77033615112305
2015-06-01 00:00:00-04:00,31.365398406982422,54.21378707885742,162.81317138671875,32.6058349609375
2015-07-01 00:00:00-04:00,32.22262191772461,57.92203140258789,167.13441467285156,30.847349166870117
2015-08-01 00:00:00-04:00,29.891828536987305,54.27806854248047,156.8785400390625,27.804471969604492
